ORGANIZATION,EMAIL,PHONE,ADDRESS,WEBSITE,latitude,longitude,status,notes,zipcode,county
Hatcher's Memorial Baptist Church,hatchersmbc@outlook.com,703-330-0156,"12225 Barbee Rd, Bristow, VA 20136",https://www.hatchersbaptist.org/,38.6886072,-77.5009139,Pending,,20136,Bristow
New Hope Baptist Church,,(703) 369-7493,"10909 Bristow Rd, Bristow, VA 20136",,38.7192695,-77.533302,Pending,,20136,Bristow
"New Life Christian Church, Linton Hall Campus",info@newlife.church ,703.222.8836 ,"8301 Linton Hall Rd, Bristow, VA 20136",https://newlife.church/linton-hall-campus/,38.774265,-77.5931039,Pending,,20136,Bristow
New Life Community Baptist Church,,(703) 928-2439,"14000 Sudley Manor Dr, Bristow, VA 20136",https://www.nlcbc.org/contact-us,38.7385553,-77.5805429,Pending,,20136,Bristow
Redeemer Baptist Church,mike@redeemerbc.com,904-614-1145,"8990 Worthington Dr, Bristow, VA 20136",https://www.redeemerbc.com/,38.7618932,-77.5894835,Pending,,20136,Bristow
Victory Lakes Community Association,"hoaoffice@victorylakeshoa.com, tschaefer@cmc-management.com",703-368-6660,"12600 Victory Lakes Loop, Bristow, VA 20136",https://victorylakeshoa.com/,38.7591091,-77.5657089,Pending,,20136,Bristow
Youth For Tomorrow,,703-368-7995,"11835 Hazel Cir Dr, Bristow, VA 20136",,38.7395289,-77.5490115,Pending,,20136,Bristow
Grace Community Center Clinic,main@gcchealthsystem.org,(703) 650-9099,"14631 Lee Hwy STE 313, Centreville, VA 20121","https://www.gcchealthsystem.org/
Saturdays: 9:30AM-12:00PM",38.8345213,-77.4544237,Pending,,20121,Centreville
Adams Compassionate Healthcare Network,contact@achnhealth.org,(703) 542-3366,"4431 Brookfield Corporate Drive, Unit F Chantilly, VA 20151",https://achnhealth.org/,38.8853636,-77.4377091,Pending,,20151,Chantilly
Culpeper Housing and Shelter Services,info@culpepershelter.org,540-825-7434,"215 E. Spencer St., Culpeper, VA  22701 ",https://culpepershelter.org/,38.473499,-77.9933391,Pending,,22701,Culpeper
Birchdale Recreation Center,helloparks@pwcgov.org,(703) 792-7060,"14730 Birchdale Ave, Dale City, VA 22193",https://www.pwcva.gov/department/birchdale-community-center,38.6292996,-77.3107866,Pending,,22193,Dale City
Church of Christ,dalecitychurch@dccoc.comcastbiz.net,(703)590 -1790,"13130 Hillendale Dr, Dale City, VA 22193",http://www.churchofchristatdalecity.org/,38.6665491,-77.3354287,Pending,,22193,Dale City
Dale City Library,,703-792-5670,"4249 Dale Blvd, Dale City, VA 22193",www.pwcva.gov/library,38.6460333,-77.3377817,Pending,,22193,Dale City
Good Shephard United Methodist,adminassist@gsumc.net,(703)670-6127,"14999 Birchdale Ave, Dale City, VA 22193",www.http://gsumc.net,38.6283201,-77.3114589,Pending,,22193,Dale City
Hillendale Baptist Church,info@hillendalechurch.org,703 590 3010,"13135 Hillendale Dr, Dale City, VA 22193",https://hillendalechurch.org/,38.6656084,-77.3344654,Pending,,22193,Dale City
ACTS Beverly Warren Emergency Homeless Shelter,info@actspwc.org,703-221-3188,"17866 Main Street, Dumfries, VA 22026",https://actspwc.org/housing-assistance/,38.5649806,-77.329984,Pending,,22026,Dumfries
ACTS Domestic Violence Support,info@actspwc.org,(703) 221-4951,"3900 ACTS lane, Dumfries, VA 22026",https://actspwc.org/domestic-violence/,38.5631747,-77.3290854,Pending,,22026,Dumfries
ACTS Food Assitance,info@actspwc.org,(703) 441-8606,"3900 ACTS Lane, Dumfries, VA 22026",https://www.actspwc.org/services/food-assistance,38.5631747,-77.3290854,Pending,,22026,Dumfries
ACTS Thrfit Store,cwillut@actspwc.us,(703) 221-3298,"3661 Canal Road, Dumfries, VA 22026",https://www.actspwc.org/thrift-store,38.5687205,-77.3221671,Pending,,22026,Dumfries
Badr Community Center of Dumfries,info@bccd.org,(703) 221-2237,"17794 Main St, Dumfries, VA 22026",https://www.bccd.org/,38.5662862,-77.3295065,Pending,,22026,Dumfries
Beverly Warren Emergency Shelter,,(703) 221-3186,"17866 Main Street. Dumfries, VA 22026",https://www.pwcva.gov/department/social-services/homeless-and-winter-shelters,38.5649806,-77.329984,Pending,,22026,Dumfries
Boys and Girls Club (General Heiser Club),operations@bgcgw.org,(703) 441-0611,"17565 Old Stage Coach Road, Dumfries, VA 22026",https://bgcgw.org/clubs/general-heiser-club/,38.571018,-77.3171955,Pending,,22026,Dumfries
Church On the Rock Ministries,,(703) 441-2700,"17732 Washington St, Dumfries, VA 22026",,38.567473,-77.3270223,Pending,,22026,Dumfries
Dumfries Library,,703-792-5678,"18115 Triangle Shopping Plaza, Dumfries, VA 22026
",www.pwcva.gov/library,38.5591671,-77.3326639,Pending,,22026,Dumfries
Dumfries United Methodist Church,,(703) 221-2880,"3890 Cameron St, Dumfries, VA 22026",www.dumfriesumc.org,38.5689619,-77.3286173,Pending,,22026,Dumfries
First Mount Zion Baptist Church,fmzbc@firstmountzionbc.org,703-670-0184,"16622 Dumfries Road, Dumfries, Virginia 22025-1920",https://firstmountzionbc.org/,38.5907564,-77.3358086,Pending,,22025,Dumfries
GPW Health Center -- Dumfries,,(703) 680-7950,"17739 Main St, Dumfries, VA 22026",https://www.gpwhealthcenter.org/,38.5672376,-77.3258747,Pending,,22026,Dumfries
Grace Church,info@gracechurchva.org,(703) 445-1299,"1006 Williamstown Dr, Dumfries, VA 22026",www.gracechurchva.org,38.5656331,-77.3236678,Pending,,22026,Dumfries
Greater Praise Temple Ministries,info@greaterpraisetemple.org,(571) 330-5222,"17838 Main St, Dumfries, VA 22026",www.greaterpraisetemple.org,38.5653763,-77.3297728,Pending,,22026,Dumfries
Harvest Tabernacle,,(571) 477-8014,"17873 Main St F, Dumfries, VA 22026",www.harvesttabernacleva.org,38.5646859,-77.3292304,Pending,,22026,Dumfries
Iglesia Alfa y Omega,,(703) 929-9097,"17505 Mine Rd, Dumfries, VA 22025",,38.5710149,-77.3436309,Pending,,22025,Dumfries
Iglesia Fe Y Amor A D,,"703-499-7780; alt 703-221-1020
(703) 499-7780","17491 Jefferson Davis Hwy, Dumfries, VA 22026",,38.5722681,-77.3163325,Pending,,22026,Dumfries
Little Union Baptist Church,littleunion@verizon.net,(703) 221-4994,"17150 Mine Rd, Dumfries, VA 22025",www.little-union.org,38.5798138,-77.3474059,Pending,,22025,Dumfries
Montclair Tabernacle Church of God,,(703) 670-8907,"16120 Dumfries Rd, Dumfries, VA 22025",www.montclairtab.org,38.602559,-77.3486029,Pending,,22025,Dumfries
Pillar Church of Dumfries,"jake@pillardumfries.com
jake@pillardumfries.com
jake@pillardumfries.com",(571) 931-6896,"17700 Wayside Dr, Dumfries, VA 22026",https://pillarchurchsbc.com/,38.5658,-77.3069543,Pending,,22026,Dumfries
Potomac Shores Recreation Center -- Shores Club,,,"1801 Potomac Shores Pkwy, Dumfries, VA 22026",https://potomacshores.com/lifestyle/shores-club/,38.5735741,-77.2723619,Pending,,22026,Dumfries
River of Life Church,,540-659-3493,"3130 PANTHER PRIDE DRIVE, DUMFRIES, VA 22026",http://www.rolchurchva.com,38.5927034,-77.3068218,Pending,,22026,Dumfries
Southbridge Community Association,,(703) 221-7716,"17325 River Ridge Blvd, Dumfries, VA 22026",http://www.southbridgeva.us/southbridgeva/home.asp,38.576393,-77.299631,Pending,,22026,Dumfries
Spirit of Truth Deliverance Church of God in Christ,Truthp1@aol.com,(703) 445-0272,"17775 Main Street Dumfries, VA 22026",www.sotdc.org,38.5666024,-77.3280616,Pending,,22026,Dumfries
St. Francis House,francias@stfrncis.org,(703) 221-6344,"2606 Heth Court., Dumfries, VA 22026",http://www.stfrncis.org/st-francis-house/,38.5595852,-77.3273995,Pending,,22026,Dumfries
St. Francis of Assisi,francias@stfrncis.org,703-221-6344,"2606 Heth Court., Dumfries, VA 22026",https://stfrncis.org/,38.5595852,-77.3273995,Pending,,22026,Dumfries
Turning Points Domestic Violence Intervention and Shelter,info@actspwc.us,703-221-4460 or 703-221-4951,"3900 ACTS Lane, Dumfries, VA 22026",https://actspwc.org/,38.5631747,-77.3290854,Pending,,22026,Dumfries
Word of Faith Christian Fellowship Church,wofcfva@yahoo.com,(703) 441-3510,"17650 Possum Point Rd, Dumfries, VA 22026",http://www.wofcf.org/,38.5688044,-77.3185979,Pending,,22026,Dumfries
Formed Families Forward,Info@FormedFamiliesForward.org,(703) 539-2904,"10304 Eaton Place Suite 100, Fairfax, VA 22030",https://formedfamiliesforward.org/services/consultation-and-support/,38.8621957,-77.3032399,Pending,,22030,Fairfax
Suicide Prevention Alliance of Northern Virginia,suicidepreventionnva@fairfaxcounty.gov,,"8221 Willow Oak Corporate Dr, Fairfax, VA 22031",https://www.suicidepreventionnva.org/,38.8637346,-77.2339313,Pending,,22031,Fairfax
The Arc - Northern Virginia,,703-208-1119,"3060 Williams Drive, Suite 300 Fairfax, VA 22031",https://thearcofnova.org/program/support-coordination/,38.8664763,-77.2341388,Pending,,22031,Fairfax
Victoria Transcultural Clinical Centre,info@vtccmail.com, (703) 257-5997,"3541 Chain Bridge Rd, Ste 204 Fairfax, VA 22030",https://vtcc.health/,38.8607341,-77.3054254,Pending,,22030,Fairfax
Virginia 512 SEIU ,info@seiuva.org,(571) 432-0209,"3545 Chain Bridge Road, Suite 106 Fairfax, VA 22030",https://www.seiuva.org/prince-william-county/,38.8607787,-77.3061428,Pending,,22030,Fairfax
Legal Aid Justice Center ,johncano@justice4all.org,(434)249-4118,"6402 Arlighton Blvd, Suite 1130 Falls Church, VA 22032",www.justice4all.org,38.8734906,-77.1599794,Pending,,22032,Falls Church
NOVA Scripts Central,info@novascriptscentral.org,(703) 532-0269,"6400 Arlington Blvd, Ste 120, Falls Church, VA 22042",https://novascriptscentral.org/,38.8727611,-77.160305,Pending,,22042,Falls Church
Eleanor U. Kennedy Shelter,,703-799-0200,"9155 Richmond Highway, Fort Belvoir, VA 22060",https://www.newhopehousing.org/our-services/shelters/eleanor-u-kennedy-shelter/,38.7078467,-77.1596836,Pending,,22060,Fort Belvoir
Empowerhouse (Fredericksburg),office@empowerhouseva.org,540-373-9372/540-373-9373,"150 Olde Greenwich Drive, Suite 101, Fredericksburg, VA 22408",https://www.empowerhouseva.org,38.271137,-77.4812666,Pending,,22408,Fredericksburg
Postpartum Support Virginia (PWC),info@postpartumva.org,(703) 829-7152,"Post Office Box 5742, Fredericksburg, VA 22403",https://postpartumva.org,38.32,-77.47,Pending,,22403,Fredericksburg
Virginia Community Food Connections,Info@virginiacfc.org,540-940-7914,"P.O Box 7664, Fredericksburg, VA 22404",virginiacfc.org,38.3059431,-77.4801322,Pending,,22404,Fredericksburg
Casa BruMar Foundation,secretary@casabrumarfoundation.org,,"PO Box 953 Gainesville, Virginia 20156-0953",casabrumarfoundation.org,38.7956706,-77.6138802,Pending,,20156,Gainesville
Church of the Word Anglican,admin@churchoftheword.net,‭(703) 754-9673‬,"7500 Logos Way, Gainesville, VA 20155",https://www.churchoftheword.net/,38.7946379,-77.6157366,Pending,,20155,Gainesville
Dominion Community Church,INFO@DOMINIONCC.ORG,571-781-2310,"7371 Atlas Walk Way, Gainesville, VA 20155",https://www.dominioncc.org/,38.7958118,-77.6092077,Pending,,20155,Gainesville
Gainesville Presbyterian Church,gpchurchmail@gmail.com,703-754-8791,"16127 Lee Hwy, Gainesville, VA 20155",http://www.gpcweb.org/,38.7812432,-77.6684535,Pending,,20155,Gainesville
Gateway Bible Church,info@gbcnova.com,(540) 341-8373,"8001 Limestone Dr, Gainesville, VA 20155",http://www.gbcnova.com/,38.7828636,-77.5975481,Pending,,20155,Gainesville
Grace Church of Gainesville,,(703) 753-1962,"7506 James Madison Hwy, Gainesville, VA 20155",http://www.gcgv.org/,38.7929608,-77.6665768,Pending,,20155,Gainesville
Haymarket Church of Christ,,(571) 261-8535,"6945 Gillis Way, Gainesville, VA 20155",http://haymarketcofc.org/,38.8067284,-77.6263695,Pending,,20155,Gainesville
Haymarket Regional Food Pantry,,(703) 754-5990,"7669 Limestone Drive, #105, Gainesville, VA 20155",https://haymarketfoodpantry.org,38.7906359,-77.5980314,Pending,,20155,Gainesville
Holy Trinity Catholic Church,adminasst@holytrinityparish.net,(703) 753-6700,"8213 Linton Hall Rd, Gainesville, VA 20155",http://www.holytrinityparish.net/,38.7797,-77.5986809,Pending,,20155,Gainesville
National Community Church - Gainesville,,"(202) 544-0414 , (202) 417, 3980","8001 Gateway Promenade Pl, Gainesville, VA 20155",https://theaterchurch.com/,38.7870631,-77.6058667,Pending,,20155,Gainesville
Northern Virginia Baptist Center,,(703) 754-7451,"14019 Glenkirk Rd, Gainesville, VA 20155",http://www.nvbcenter.org/,38.7719124,-77.609651,Pending,,20155,Gainesville
Potomac Ministry Center,info@potomacag.org,703-753-0300,"14525 John Marshall Hwy, Gainesville, VA 20155",http://www.potomacag.org/,38.8059707,-77.6246865,Pending,,20155,Gainesville
Prince William County - Gainsville District,,"(703)792-5785, (703)792-6196, (703)792-8407","13575 Heathcote Blvd. Suite 150, Gainesville, Virginia 20155",,38.8020814,-77.5992423,Pending,,20155,Gainesville
Solid Rock Christian Church,,(703) 393-2822,"4284 Stepney Dr, Gainesville, VA 20155",http://www.solidrock-cc.org/,38.8652427,-77.6155193,Pending,,20155,Gainesville
United Pentecostal Church,,(703) 754-4605,"14002 Glenkirk Rd, Gainesville, VA 20155",,38.7790135,-77.6091026,Pending,,20155,Gainesville
Virginia Gateway Shopping Center,,,"7400 Linton Hall Rd, Gainesville, VA 20155
",www.pwcva.gov/library,38.7934228,-77.6104918,Pending,,20155,Gainesville
Haymarket Baptist Church,,(703) 754-8546,"14800 Washington St, Haymarket, VA 20169",http://www.haymarketbaptistchurch.org/,38.8107736,-77.6323919,Pending,,20169,Haymarket
Haymarket Church,info@haymarketchurch.org,(703) 688-2546,"14951 Washington St, Haymarket, VA 20169",https://haymarketchurch.org/,38.8119199,-77.6362285,Pending,,20169,Haymarket
Haymarket Gainesville Library,,703-792-8700,"14870 Lightner Rd, Haymarket, VA 20169
",www.pwcva.gov/library,38.8366242,-77.632222,Pending,,20169,Haymarket
Living Hope Seventh-day Adventist Church,info@LivingHopeSDA.com,(703) 803-0367,"5235 Merchants View Sq, Haymarket, VA 20169",https://www.livinghopesda.com/,38.8431503,-77.6436811,Pending,,20169,Haymarket
Park Valley Church,info@parkvalleychurch.com,571.261.2136,"4500 Waverly Farm Drive, Haymarket, VA 20169 ",https://www.parkvalleychurch.com/,38.8604128,-77.6386374,Pending,,20169,Haymarket
Piedmont Bible Church,,(571) 284-7166,"14910 Washington St, Haymarket, VA 20169",http://www.piedmontbible.org/default.asp?sec_id=180007593,38.8119563,-77.635065,Pending,,20169,Haymarket
Rainbow Therapeutic Riding Center,rainbow@rainbowriding.org,(703) 794-5308,"16198 Silver Lake Rd, Haymarket, VA 20169",https://www.rainbowriding.org/,38.8452962,-77.6670648,Pending,,20169,Haymarket
Redeemed Heart Church,PASTOR@REDEEMEDHEARTCHURCH.ORG,571-229-7392,"5501 MERCHANTS VIEW SQUARE, SUITE 256, HAYMARKET, VA, 20169",https://www.redeemedheartchurch.org/,38.8448994,-77.6393043,Pending,,20169,Haymarket
Shepherd of the Hills Lutheran Church,pastordarcy@sothva.org,(703) 754-3640,"4090 Sudley Rd, Haymarket, VA 20169",https://www.sothva.org/,38.8678712,-77.6327966,Pending,,20169,Haymarket
St. Paul's Episcopal Church,stpaulsepiscopalhaymarket@gmail.com,(703) 753-2443,"6750 Fayette St, Haymarket, VA 20169",http://www.stpaulsepiscopalhaymarket.org/default.asp,38.8110899,-77.639003,Pending,,20169,Haymarket
The Sound Church,,(703) 346-0323,"15801 Tanning House Pl, Haymarket, VA 20169",https://www.findhope.church/,38.8453049,-77.661129,Pending,,20169,Haymarket
Canterbury Woods Community Center,,(703) 491-2154,"12184 Chaucer Ln, Lake Ridge, VA 22192",http://www.lakeridgeva.com/page/299~61272/Amenities,38.6856096,-77.3247185,Pending,,22192,Lake Ridge
Lake Ridge Library,,703-792-5675,"2239 Old Bridge Rd, Lake Ridge, VA 22192",www.pwcva.gov/library,38.6761478,-77.281685,Pending,,22192,Lake Ridge
Lake Ridge Parks and Recreation Association,,(703) 491-2154,"12350 Oakwood Dr, Lake Ridge, VA 22192",https://lakeridgeva.com/,38.6839168,-77.2945195,Pending,,22192,Lake Ridge
Madinatul Uloom,,(703) 345-9332,"12750 Vantage Vew Lane, Lake Ridge, VA 22192",https://www.mtuva.com/,38.6773283,-77.2688582,Pending,,22192,Lake Ridge
Move Church,hello@onthemove.org,(703) 583-6683,"13061 Touchstone Cir, Lake Ridge, VA 22192",http://onthemove.org/,38.6761129,-77.3350145,Pending,,22192,Lake Ridge
St Matthew's Lutheran Church,stmatthews@stmatthews.us,703-494-3090,"12351 All Saints Pl, Lake Ridge, VA 22192",https://www.stmatthews.us/,38.6851893,-77.3085699,Pending,,22192,Lake Ridge
St. Elizabeth Ann Seton Catholic Church,receptionist@seas1.org,(703) 494-4008,"12805 Valleywood Dr, Lake Ridge, VA 22192",https://setonlakeridge.org/,38.6750619,-77.301354,Pending,,22192,Lake Ridge
Capital Area Food Bank,,(571) 482-4770,"6833 Hill Park Drive, Lorton, VA 22079",https://www.capitalareafoodbank.org/,38.7411408,-77.179733,Pending,,22079,Lorton
AI-Anon Service Center of Northern VA,Info@alanonva.com,703-534-4357,"8569 Sudley Road, Suite A, Manassas, VA  20110",https://alanonva.com/,38.7702939,-77.4906032,Pending,,20110,Manassas
All Saints Catholic Church,parishoffice@allsaintsva.org,(703) 368-4500,"9300 Stonewall Rd, Manassas, VA 20110",http://allsaintsvachurch.org/,38.7537954,-77.4846511,Pending,,20110,Manassas
Apply for Public Assistance -- Department of Social Services,,(703) 792-7500,"7987 Ashton Avenue, Suite 200, Manassas, VA 20109",https://www.pwcva.gov/department/social-services/apply-public-assistance,38.7883026,-77.5192123,Pending,,20109,Manassas
Bethel Lutheran Church,Office@BethelManassas.org ,703-368-3943,"8712 Plantation Ln, Manassas, VA 20110",https://www.bethelmanassas.org/,38.7676938,-77.4827361,Pending,,20110,Manassas
Bethlehem Lutheran Church,admin@bethlehem-lutheran.org,(703) 361-4866,"9748 Copeland Dr, Manassas, VA 20109",http://www.bethlehem-lutheran.org/,38.7939294,-77.4878218,Pending,,20109,Manassas
Blooms Mill Hoa,Kelly.Bernard@fsresidential.com,(703) 679-1542; alt (703) 368-6639,"8192 Whispering Wind Ln, Manassas, VA 20111",,38.7750978,-77.4469391,Pending,,20111,Manassas
Boys and Girls Club (Martin K. Alloy Club of Manassas),operations@bgcgw.org,(703) 365-2582,"9501 Dean Park Lane, Manassas, VA 20110",https://bgcgw.org/clubs/the-martin-k-alloy-boys-girls-club-of-manassas/,38.7428896,-77.4915055,Pending,,20110,Manassas
Buckhall United Methodist Church,pastor@buckhall-umc.org,(703) 368-0276 ,"10251 Moore Dr, Manassas, VA 20111",http://www.buckhall-umc.org/,38.7340274,-77.4324763,Pending,,20111,Manassas
Bull Run Library,,703-792-4500,"8051 Ashton Ave, Manassas, VA 20109",www.pwcva.gov/library,38.7869142,-77.5205611,Pending,,20109,Manassas
Bull Run Unitarian Universalists,office@bruu.org,703-361-6269,"9350 Main St, Manassas, VA 20110",http://www.bruu.org/,38.7516535,-77.4720346,Pending,,20110,Manassas
Calvary Chapel of Manassas,davidspear@calvarychapelmanassas.org,703-369-7786,"9312 Brentsville Rd, Manassas, VA 20112",http://www.calvarychapelmanassas.org/,38.7060313,-77.4787034,Pending,,20112,Manassas
Central Library,,703-792-8360,"8601 Mathis Ave, Manassas, VA 20110
",www.pwcva.gov/library,38.7687535,-77.4548693,Pending,,20110,Manassas
Childrens Center of Manassas,,(703) 791-3838,"12019 Falling Creek Dr, Manassas, VA 20112",http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=36491,38.6908473,-77.4402551,Pending,,20112,Manassas
Christian Church in Manassas - The Church of Jesus Christ of Latter-day Saints,,(703) 988-1205,"5750 Websters Way, Manassas, VA 20112",https://local.churchofjesuschrist.org/en/us/va/manassas/5750-websters-way,38.6739349,-77.3806904,Pending,,20112,Manassas
Christian Life Church,info@myclcchurch.org,(703) 365-0800,"7845 Ashton Ave, Manassas, VA 20109",http://myclcchurch.org/,38.7891743,-77.5199739,Pending,,20109,Manassas
Church of God-Souls Harbor,soulsharbormanassas@gmail.com,(703) 369-1222,"8900 Portner Ave, Manassas, VA 20110",https://soulsharborcog.com/,38.7626113,-77.4651732,Pending,,20110,Manassas
Community Services -- Phoenix Center,emailcsb@pwcgov.org,(703) 792-7800,"8500 Phoenix Drive, Manassas, VA, 20110",https://www.pwcva.gov/department/community-services/vocational-rehabilitation/,38.763646,-77.454086,Pending,,20110,Manassas
Community Services -- Sudley North,,703-792-5241,"7969 Ashton Avenue, Manassas, VA 20109",https://www.pwcva.gov/department/community-services,38.7885068,-77.5189456,Pending,,20109,Manassas
Community Services Board,,(703) 792-7800,"7969 Ashton Ave, Manassas, VA 20109",,38.7885068,-77.5189456,Pending,,20109,Manassas
Counseling Associates of Virginia,,(703) 330-5155,"8401 Dorsey Circle, Suite 201, Manassas, VA, 20110",http://counselingassociatesofva.com/Index.aspx,38.7694424,-77.4866173,Pending,,20110,Manassas
Creating Foundations for Hope,info@cfhva.org,703-221-4510,"7702 Donegan Drive, Manassas, VA 20109",https://cfhva.org/food-pantry/,38.7899186,-77.5172169,Pending,,20109,Manassas
Crossway Fellowship,STAFF@CROSSWAYFELLOWSHIP.ORG,703-368-2386,"8601 Plantation Ln, Manassas, VA 20110",https://www.crosswayfellowship.org/,38.7694133,-77.4802513,Pending,,20110,Manassas
Dar Alnoor Islamic Community Center,,(703) 580-0808,"5404 Hoadly Rd, Manassas, VA 20112",http://www.daralnoor.org/,38.6766802,-77.3702631,Pending,,20112,Manassas
Destiny Life International Church,pastorfrank@destinylifeusa.org,(703) 331-3570,"8785 Commerce Ct #201, Manassas, VA 20110",http://destinylifeusa.org/,38.7592929,-77.4592435,Pending,,20110,Manassas
E. Carrington Family Enrichment Center,,703-530-9800,"9300 Forest Point Circle, Manassas, VA 20110",https://e-carrington.org,38.7657489,-77.4793186,Pending,,20110,Manassas
Early Head Start Child Development Center -- Georgetown South,,571.748.2770,"9444 Taney Road, Manassas, VA 20110",https://www.nvfs.org/our-services/early-childhood-development/early-head-start/,38.7413285,-77.4728188,Pending,,20110,Manassas
Emergency Services Crisis Intervention Program -- Manassas Office,,(703) 792-7800,"Sudley North Government Center 8033 Ashton Ave., Manassas, VA 20109",https://www.pwcva.gov/department/community-services/crisis-intervention,38.7885886,-77.5197251,Pending,,20109,Manassas
Emmanuel Baptist Church,rbarton@ebcnva.org,703-368-9206.,"8006 Centreville Rd, Manassas, VA 20111",http://www.ebcnva.com/,38.7820182,-77.4508506,Pending,,20111,Manassas
English as a Second Language and Immigrant Ministries (ESLIM),office@eslim.org,(703) 841-0292,"9750 Wellington Rd. Manassas, VA 20110",https://eslim.org/students/classes-schedules/,38.7380603,-77.4764307,Pending,,20110,Manassas
Evergreen Community Church,,(703) 361-6773,"9501 Dean Park Ln, Manassas, VA 20110",http://evergreen.org/,38.7428896,-77.4915055,Pending,,20110,Manassas
Family Insight,,(571) 208-0592,"7960 Donegan Drive, Suite 200, Manassas, VA, 20109",https://familyinsight.net/,38.7892798,-77.5184323,Pending,,20109,Manassas
First AME Church of Manassas,famechurchoffice@comcast.net,703.361.8791,"10313 S Grant Ave, Manassas, VA 20110",http://famechurch.com/,38.7304261,-77.4600536,Pending,,20110,Manassas
First Baptist Church of Manassas,FBCADMIN@FBCMANASSAS.ORG,703-368-2935,"9258 Center St, Manassas, VA 20110",https://www.fbcmanassas.org/,38.750912,-77.4763367,Pending,,20110,Manassas
Food Pantry by Woodbridge Workers,,703-969-0197,"10934 Coverstone Drive, Manassas, VA 20109",,38.794452,-77.5221068,Pending,,20109,Manassas
Forest Park Mobile Home Community,customer.care@forestparkmhp.com,(703) 791-3054,"7800 Tayloe Drive Lot 125, Manassas, VA 20112",https://www.dwoskin.com/forest-park-mobile-home-community.aspx,38.6640296,-77.4350567,Pending,,20112,Manassas
