,VERIFICATION STATUS,ORGANIZATION,CATEGORY,EMAIL ,Link,PHONE,ADDRESS,WEBSITE,Services Provided,Hours of Service,Comment,latitude,longitude
10,Verified,Adult Protective Services (APS),Criminal Justice,circuitcourt@pwcgov.org,,(703) 792-4200,,https://www.pwcva.gov/department/social-services/adult-protective-services,"Adult Protective Services (APS) receives and investigates reports of abuse, neglect, and exploitation of adults 60 years of age or older and incapacitated adults age 18 or older. If protective services are needed and accepted by the individual, local APS workers may arrange for a wide variety of health, housing, social and legal services to stop the mistreatment or prevent further mistreatment. Services offered may include home-based care, transportation, adult day services, adult foster care, nutrition services and legal intervention in order to protect the adult. Services may also be arranged for individuals in emergency situations who lack the capacity to consent to services.",,,40.7035916,-104.7808024
11,Verified,Adult & Child Protective Services,Criminal Justice,,,(703) 792-4200,,https://www.pwcva.gov/department/social-services/child-protective-services,"Child Protective Services (CPS) Intake receives and screens reports of abuse and neglect of children under the age of 18 years. Calls are screened based on state policy and guidelines. Valid reports of child abuse and/or neglect are assigned to a CPS investigator who provides either an investigation or family assessment. Allegations of abuse or neglect must be investigated within 45-60 days from the date of the report. In cases where an allegation may involve criminal charges, the investigation is done jointly with law enforcement.

An interview with the child must be done and may occur without permission from the parents. Interviews are also conducted with the alleged abuser and other parties as needed.  ",Monday-Friday from 8 a.m. - 4 p.m,"Always call 9-1-1 anytime there is an emergency situation with child abuse or neglect!

During business hours (Monday-Friday from 8 a.m. - 4 p.m.), call the Department of Social Services at (703) 792-4200 (TTY: 711)
After business hours (4 p.m. to 8 a.m.) and on the weekends, call the Prince William County Police non-emergency number: (703) 792-6500 (TTY: 711); or the Virginia State Hotline at (800) 552-7096 (TTY: 711)",40.7035916,-104.7808024
12,Verified,Adult Day Healthcare,Family,pwaaa@pwcgov.org,,703-792-4990,"Dr. A.J. Ferlazzo Building, 15941 Donald Curtis Drive, Woodbridge, VA, 22191",https://www.pwcva.gov/department/area-agency-aging/adult-day-care,"The Prince William Area Agency on Aging is licensed by the Virginia Department of Social Services and contracted through Medicaid to provide Adult Day Healthcare services to eligible residents of Prince William County, the City of Manassas, and the City of Manassas Park. The program offers group-based activities, personal care, and health monitoring to adults aged 18 and above who are unable to stay alone at home during the day for various reasons. The program also provides crucial respite care to families who provide caregiving.

Eligibility is determined by an Agency Supportive Services Specialist. If interested call the Information & Assistance staff at 703-792-6374 or email pwaaa@pwcgov.org to initiate an in-home assessment.

Our center offers a variety of activities such as music therapy, birthday parties, games, pet visits, holiday parties, and many more fun activities.",The Adult Day Care Center is open Monday through Friday 7 a.m. until 6 p.m.,,38.6082405,-77.29555529999999
13,Verified,AI-Anon Service Center of Northern VA,Mental Health Substance Use,Info@alanonva.com,,703-534-4357,"8569 Sudley Road, Suite A, Manassas, VA  20110",https://alanonva.com/,"Al-Anon Family Groups are a fellowship of relatives and friends of alcoholics who share their experience, strength and hope in order to solve their common problems.",,,38.7702939,-77.49060320000001
14,Verified,Alive Church,Faith Based Services,hello@AliveVa.org,,(571) 535-4788,"PO Box 534, Bristow, VA 20136",http://www.aliveva.org/,"Our vision is to BUILD, INVEST, REACH, DEVELOP, and SERVE

- BUILD People and Families
- INVEST Generously
- REACH the Unreached
- DEVELOP our Campus
- SERVE our Community","Sunday Mornings
9:45am - Sunday School
11:00am - Worship
Alive Youth
2 & 4th Sundays @ 6pm",,38.7492726,-77.57340479999999
15,Verified,All Saints Catholic Church,Faith Based Services (Food),parishoffice@allsaintsva.org,,(703) 368-4500,"9300 Stonewall Rd, Manassas, VA 20110",http://allsaintsvachurch.org/,"Parish Life
-Golden Agers
-Hearts Afire Special Needs Social Group
-Marriage Apostolate
-Trail Life / American Heritage Girls
Social Outreach
-Bethany Food Pantry
-St Vincent de Paul Society",,,38.7537954,-77.4846511
16,Verified,All Saints' Church,Faith Based Services (Food),office@allsaintswoodbridge.org,,(703) 670-0093,"14851 Gideon Dr, Woodbridge, VA 22192",www.allsaintswoodbridge.org,Rental Assistance,,,38.6299847,-77.30078329999999
17,Verified,Manassas VA Red Cross Blood and Platelet Donation Center,Faith Based Services (Blood Services),,,800-RED CROSS,"10360 Portsmouth Rd., Manassas, VA 20109",https://www.redcross.org/local/dc-va-md-de.html,,,,38.7801277,-77.5074326
18,Not sure,Antietam Square Condos,HOA,,,,,,,,,40.7035916,-104.7808024
19,Verified,Apply for Public Assistance -- Department of Social Services,Family,,,(703) 792-7500,"7987 Ashton Avenue, Suite 200, Manassas, VA 20109
",https://www.pwcva.gov/department/social-services/apply-public-assistance,"Skip the Trip and avoid the lines for fast, easy and convenient service. You can conduct most of your SNAP, Medicaid and TANF business without the need to visit the office.",,,38.7883026,-77.51921229999999
20,Verified,Apply for Public Assistance -- Department of Social Services,Family,,,(703) 792-7500,"15941 Donald Curtis Drive, Suite 180, Woodbridge, VA 22191",https://www.pwcva.gov/department/social-services/apply-public-assistance,"Skip the Trip and avoid the lines for fast, easy and convenient service. You can conduct most of your SNAP, Medicaid and TANF business without the need to visit the office.",,,38.6081286,-77.2953813
21,Verified,Arc of Greater Prince William -- Family Support Services,Family,jrussell@arcgpw.org,,(703) 730-3124,,https://arcgpw.org/family-support-services/,"The Arc offers training workshops that provide a variety of information and resources. Recent topics have included sensory success, turning 18 in VA, autism, and ADHD. In addition, The Arc sponsors the annual Circle of Support Conference, an all-day event that offers a keynote speaker, workshops in three sessions, exhibitors and vendors, on-site childcare, and much more for a reasonable registration fee. The conference is usually held on the 1st Saturday in November.",,,40.7035916,-104.7808024
22,Verified,The Vocational and Skill Advancement Center (VOSAC) -- Adult Day Support Services,Family,cnicol@arcgpw.org,,(703) 221-8787,"19143 Fuller Heights Road, Triangle, Virginia 22172",https://arcgpw.org/adult-day-support-services/,"The Vocational and Skill Advancement Center (VOSAC) is a high intensity, center-based day program for adults with intellectual and developmental disabilities. VOSAC offers community inclusion, activities of daily living, and social development for adults who require support. Through volunteer work and community service, program participants have the opportunity to become engaged citizens. Our three VOSAC sites support individuals with medical needs while still providing participants the opportunity to integrate within their community.",,,38.5353894,-77.3208398
23,Verified,The Robert Day Childcare Center,Family,dshipman@arcgpw.org,,(703) 670-5060,"9208 Centreville Rd, Manassas, VA 20110",https://arcgpw.org/childcare-services/,"The Robert Day Childcare Center is located in Old Town Manassas. The center is open Monday through Friday from 6:30 a.m. until 6:00 p.m. Children from 2 1/2  to eighteen years of age enjoy therapeutic, recreational, and educational activities. Classrooms are arranged according to the child’s age and/or developmental level. Electronics, adaptive toys, and other special equipment are available for the children. Summer camps are available.",Monday through Friday from 6:30 a.m. until 6:00 p.m,"Children from 2 1/2  to eighteen years of age enjoy therapeutic, recreational, and educational activities. ",38.7548104,-77.4671721
24,Verified,"The Muriel Humphrey
Childcare Center",Family,dshipman@arcgpw.org,,(703) 670-5060,"13505 Hillendale Dr, Woodbridge, VA 22193",https://arcgpw.org/childcare-services/,"The Muriel Humphrey Center is located in Dale City. The center is open Monday through Friday from 6:00 a.m. until 6:30 p.m. Children from six weeks to eighteen years of age enjoy therapeutic, recreational, and educational activities. Classrooms are arranged according to the child’s age and/or developmental level. Electronics, adaptive toys, and other special equipment are available for the children. Summer camps are available.", Monday through Friday from 6:00 a.m. until 6:30 p.m,"Children from six weeks to eighteen years of age enjoy therapeutic, recreational, and educational activities.",38.6570966,-77.3399577
25,Verified,Arc of Greater Prince William -- Recreational Services,Community and Recreation Centers,jocetnik@arcgpw.org,,703-670-4800,"13505 Hillendale Drive, Woodbridge, VA 22193",https://arcgpw.org/recreational-services/,"The Arc’s Recreation Program offers a comprehensive social and recreational program for people with disabilities of all ages and abilities. The programs facilitate the development of leisure and recreation skills, socialization, independence, and overall enhancement of the quality of life.
All new individuals must set up an appointment with the Recreation Director prior to participation. Every participant must complete an Emergency/ Medical/ Information release form to register with the Recreation Program. This form must be updated each year.",,,38.6570966,-77.3399577
26,Verified,Arc of Greater Prince William -- Residential Services,Housing Utilities Finances,ksmith@arcgpw.org,,703-670-4800,"13505 Hillendale Drive, Woodbridge, VA 22193",https://arcgpw.org/residential-services/,"INSIGHT, Inc. the residential component of The Arc, offers adults with intellectual and developmental disabilities opportunities for personal growth and independence in a variety of supported living situations.
Community Residences (group homes) provide a family-like environment for adults to live together. Through a person-centered plan, each individual receives the needed support and supervision to successfully live in the community.

Supported Living offers a less structured environment for those adults capable of living semi-independently in the community who do not require 24 hour supervision. Individuals may live alone or with roommates in a house or apartment complex.

For a tour or to refer an individual to the program, please contact Karen Smith, Executive Director via email at ksmith@arcgpw.org or call the main office.",,,38.6570966,-77.3399577
27,Verified,Area Agency on Aging (PWC),Family,pwaaa@pwcgov.org,,(703) 792-6374,"5 County Complex Court, Suite 240, Prince William, VA, 22192",https://www.pwcva.gov/department/area-agency-aging,"The responsibilities of the Prince William Area Agency on Aging include: maintaining the independence and quality of life for adults and their families and advocating, educating, coordinating and implementing programs and services for older adults.",,,38.6806551,-77.35146410000002
28,Verified,B Well Biblical Soulcare ,Faith Based Services,BrendaBuckner@bwellsoulcare.com,,571-264-6723,"1942 Heatherbrook Ct, Woodbridge, VA 22192",www.bwellsoulcare.com,"We are two sisters joined together in Christ to bring His message of Help, Hope and Healing to the entire Body of Christ. Sisters Brenda and Astrine met over 30 years ago in Woodbridge, VA. God reconnected their paths in 2020 during the pandemic. Little did they know that Father God had plans to use them in a mighty way!

 B|WELL Biblical SoulCare Outreach Ministry is a non-profit, limited liability company located in Woodbridge, Virginia. Our service area is Metropolitan Washington DC, Northern Virginia and Southern Maryland.",,,38.6782823,-77.2729875
29,Verified,Badr Community Center of Dumfries,Faith Based Services,info@bccd.org,,(703) 221-2237,"17794 Main St, Dumfries, VA 22026",https://www.bccd.org/,"CONGREGATIONAL PRAYERS
BCCD conducts five times daily congregational prayers at the center. In addition, Friday Prayers are also offered. We conduct multiple Friday Prayers to accommodate attendees' busy schedules. 
“O you who believe! When the call is proclaimed for the Salat on Friday, come to the remembrance of Allah & leave off business. That is better for you if you did but know!” (62:09)

MATRIMONIAL SERVICES
Prophet Muhammad صلى الله عليه وسلم said: Marriage is the basis for blessing and children in abundance are mercy of Allah.
We are authorized by the court of marriage to conduct Shari'ah Nikkah for those wanting to get married.
Interested in getting married and need help finding a spouse? Simply contact us and we will do our best insha'Allah to help you.

DAWAH CENTER
Allah has said in the Quran, ""But if they turn away, thy duty is only to preach the Clear Message."" (16:82)
It is our duty to spread the word of Allah and the message of Islam. We are fulfilling our responsibility of showing the people the right path so that Allah doesn’t hold us answerable on the Day of Judgement.
If you want to revert to Islam, please contact us or stop by for an appointment & to know the process.

NOTARY PUBLIC
As a part of a process of developing a unified Muslim Ummah, it is important to have trust in each other. We provide free Notary Public service.
Please bring your identification card, document needing notarization, and all persons listed on the document. Free of charge; donations are welcome.

RAMADAN
Every year during Ramadan, there is Iftar which is sponsored by a family each day. We also have a complete month Taraweeh along with Qiyam-Al-Layl and I'tekaaf in the last ten nights.
Please join us for the Iftar & Taraweeh and connect with the people of the community. Experience the awesome members of our community.",,,38.5662862,-77.3295065
30,Verified,BARN Community Housing,Housing Utilities Finances,,,703-369-1325,"9541 Linton Hall Road, Bristow, VA 20136
","http://www.barncommunityhousing.org/
",single mothers 19 years of age with a drivers license and up to five children under 12,,,38.7525202,-77.5648695
31,,Battlefield Baptist Church,Faith Based Services,info@battlefieldbaptist.org,,540-347-5855,"4361 Lee Hwy, Warrenton, VA 20187",http://battlefieldbaptist.org/contact,,,,38.773651,-77.68975879999999
32,,Bethel A.M.E. Church,Faith Based Services,revmelyndaclarke@gmail.com,,(571) 285-4170,"4371 Kevin Walker Dr, Montclair, VA 22025",www.bethelofwoodbridge.org,,,,38.6031181,-77.34139929999999
33,,Bethel Free Will Baptist Church,Faith Based Services,jlane@bfwbc.com,,(703) 590-5199,"3713 Pennington Ln, Woodbridge, VA 22192",http://bfwbc.com/,,,,38.6620861,-77.3244323
34,,Bethel Lutheran Church,Faith Based Services,Office@BethelManassas.org ,,703-368-3943,"8712 Plantation Ln, Manassas, VA 20110",https://www.bethelmanassas.org/,,,,38.7676938,-77.48273610000001
35,,Bethel United Methodist Church,Faith Based Services,secretary@bethelumc.org,,(703) 670-4929,"13506 Minnieville Rd, Woodbridge, VA 22192",www.bethelumc.org,,,,38.6557017,-77.3083321
36,,Bethlehem Lutheran Church,Faith Based Services,admin@bethlehem-lutheran.org,,(703) 361-4866,"9748 Copeland Dr, Manassas, VA 20109",http://www.bethlehem-lutheran.org/,,,,38.7939294,-77.48782179999999
37,Verified,Beverly Warren Emergency Shelter,Housing Utilities Finances,,,(703) 221-3186,"17866 Main Street. Dumfries, VA 22026;  ",https://www.pwcva.gov/department/social-services/homeless-and-winter-shelters,"This emergency shelter program is an 18-bed shelter for individual females and families. The program is operated by Action in Community Through Services (ACTS) in Dumfries, VA. Housing-focused case management is provided to all program participants with the key of focus of identifying next step permanent housing. To gather more information about services, please contact ACTS at (703) 221-3186. (TTY: 711)  Contact the CES Hotline at (703) 792-3366 (TTY: 711) to be assessed and referred to the program.",,,38.5649806,-77.329984
38,,Bible Way Apostolic Church,Faith Based Services,,,(703) 441-0404,"18516 Triangle St, Triangle, VA 22172",,,,,38.5502872,-77.3331828
39,Verified,"Bill Mehr Drop-In Center for the Homeless, Shelter",Housing Utilities Finances,,,(703) 792-7648,"14716 Potomac Mills Road in Woodbridge, VA",https://www.facebook.com/MehrDropInCenter,"The Bill Mehr Drop-in Center (Drop-In Center) is operated by the Prince William County Department of Social Services in partnership with the Servants at Work (SAW). The Drop-In Center operates six days week on a rotating schedule and provides meals, showers, clothing, opportunities for spiritual/social interaction as well as assistance in meeting health, employment, education, and housing needs through referrals.

To help maintain social distancing, up to 10 participants are allowed into the center at one time. There is a waiting area outside that provides shelter from the outdoor elements that also is set up to maintain social distancing. Meals and self-serve laundry are available. Showers are available for those who were not at the Overnight Shelter. Persons with counseling or treatment needs are provided a room with a phone for virtual appointments. 

Ithe event that the temperature reaches 95 degrees or above the Drop-In Center hours will be extended to provide cool center services.","Sunday: Closed
Monday: 7:00 AM - 12:00 PM EST
Tuesday: 7:00 AM - 12:00 PM EST
Wednesday: 7:00 AM - 12:00 PM EST
Thursday: 7:00 AM - 12:00 PM EST
Friday: 7:00 AM - 12:00 PM EST
Saturday: 7:00 AM - 10:00 AM EST","Age Requirements:18 and over
Other Eligibility Criteria: Adults
Intake Process: Please call the Coordinated Entry System for any homeless resources. Call for more information.
Self Refer: Yes
Provider Refer: Yes",38.630767,-77.2949524
40,Verified,Birchdale Recreation Center,Community and Recreation Centers,helloparks@pwcgov.org,,(703) 792-7060,"14730 Birchdale Ave, Dale City, VA 22193",https://www.pwcva.gov/department/birchdale-community-center,"Located at the entrance of the Birchdale Community in Dale City, the Birchdale Center is a 2,500 sqft community center with meeting and event space available to rent. Amenities include a 25-meter outdoor pool with wading area and bath house, a playground, pavilions, basketball courts and a skate park.",,,38.6292996,-77.3107866
41,Verified,Birthright,Medical and Healthcare,,,703-583-1178,"4207 Dale Boulevard, Woodbridge VA 22193",https://www.birthrightofwoodbridge.org/services,"Offering a variety of services including a free pregnancy test and more:
-Free pregnancy testing
-Alternatives to abortion
-Friendship and confidential emotional support
-Help in finding appropriate community resources
-Prenatal care, housing, and adoption referrals
-Help in making a workable plan
-Maternity and infant clothing and diapers
24/7 Helpline: 1-800-550-4900
If you are facing an unplanned pregnancy, you may be struggling with a number of difficult decisions. Whether you or someone you know is considering abortion or looking for alternatives to abortion, please contact Birthright of Woodbridge. 

We will not pressure you. We believe in creating a non-judgmental atmosphere to help women who are going through a pregnancy crisis. 
","Tuesday-Thursday: 10:00am-4:00pm
Friday: 10:00am-1:00pm
Saturday 10:00am-12:00pm
or anytime for an appointment by calling 703-583-1178
Sunday and Monday: Closed",,38.64385770000001,-77.33785639999999
42,Verified,Birthright of Woodbridge,Clothing,,,800-550-4900,"4207 Dale Boulevard, Woodbridge VA 22193",https://www.birthrightofwoodbridge.org/services,"Offering a variety of services including a free pregnancy test and more:
-Free pregnancy testing
-Alternatives to abortion
-Friendship and confidential emotional support
-Help in finding appropriate community resources
-Prenatal care, housing, and adoption referrals
-Help in making a workable plan
-Maternity and infant clothing and diapers
24/7 Helpline: 1-800-550-4900
If you are facing an unplanned pregnancy, you may be struggling with a number of difficult decisions. Whether you or someone you know is considering abortion or looking for alternatives to abortion, please contact Birthright of Woodbridge. 

We will not pressure you. We believe in creating a non-judgmental atmosphere to help women who are going through a pregnancy crisis. 
","Tuesday-Thursday: 10:00am-4:00pm
Friday: 10:00am-1:00pm
Saturday 10:00am-12:00pm
or anytime for an appointment by calling 703-583-1178
Sunday and Monday: Closed",,38.64385770000001,-77.33785639999999
43,Verified,Blooms Mill Hoa,HOA,Kelly.Bernard@fsresidential.com,,(703) 679-1542; alt (703) 368-6639,"8192 Whispering Wind Ln, Manassas, VA 20111",,,,,38.7750978,-77.4469391
44,Verified,Boys and Girls Club (General Heiser Club),Family,operations@bgcgw.org,,(703) 441-0611,"17565 Old Stage Coach Road, Dumfries, VA 22026",https://bgcgw.org/clubs/general-heiser-club/,"We serve kids and teens through an adopted strategy created by our National Headquarters to ensure Academic Success, Good Character and Citizenship, and Healthy Lifestyles.","General Membership Hours:
Monday – Friday:  2:00 PM – 8:00 PM

Daycare Hours:
Monday – Friday
Before Care:  6:00 AM – 9:30 AM
After Care:  2:30 PM – 6:00 PM

Summer Hours:
Monday – Friday:  6:00 AM – 6:00 PM",,38.571018,-77.31719550000001
45,Verified,Boys and Girls Club (Hylton Club),Family,operations@bgcgw.org,,(703) 670-3311,"5070 Dale Boulevard, Woodbridge, VA 22193",https://bgcgw.org/clubs/hylton-club/,"We serve kids and teens through an adopted strategy created by our National Headquarters to ensure Academic Success, Good Character and Citizenship, and Healthy Lifestyles.","School Year Hours:
Tuesday – Friday: 3 PM – 8 PM

Summer Hours:
Monday – Friday: 6 AM – 6:00 PM",,38.6609425,-77.3605464
46,Verified,Boys and Girls Club (Martin K. Alloy Club of Manassas),Family,operations@bgcgw.org,,(703) 365-2582,"9501 Dean Park Lane, Manassas, VA 20110",https://bgcgw.org/clubs/the-martin-k-alloy-boys-girls-club-of-manassas/,"We serve kids and teens through an adopted strategy created by our National Headquarters to ensure Academic Success, Good Character and Citizenship, and Healthy Lifestyles.","General Membership Hours:
Monday–Friday: 2:00 PM–8:00 PM

Daycare Hours:
Monday – Friday
Before Care: 6:00 AM – 9:00 AM
After Care: 2:30 PM – 6:30 PM

Summer Hours:
Monday–Friday: 6:00 AM – 6:00 PM

Follow us on:
Facebook: mkabgcmanassas
Instagram: alloybgc",,38.7428896,-77.4915055
47,,Brentsville Presbyterian Church,Faith Based Services,pbdelash@cs.com,,703-368-2546,"12305 Bristow Rd, Bristow, VA 20136",https://www.pcusa.org/congregations/10108/,,,,38.6892242,-77.499504
48,,Bridges of Love International,Faith Based Services,,,,"12801 Darby Brook Ct #202, Woodbridge, VA 22192",http://www.bridgeofloveintl.org/about-us.php,,,,38.6753557,-77.2642901
